pi-0497-2006->[si-085-02, si-085-06, og-086-03]
pi-0519-2007->[at2009-0039, hf2000-0056, 2002-fqm-296]
og-070-00->[0613-0312, 2004-hum-353, 2002-cvi-210]
0896-0398->[2002-fqm-296, 0613-0312, 2004-hum-353]
infn07-12->[si-131-06, si-048-04, mtm2007-65909]
og-070-03->[pi060781, pi-0592-2009, 2002-fqm-296]
og-070-08->[si-085-02, og-086-03, si-085-06]
og-070-07->[og-086-03, og-005-00, at2009-0039]
pi-0396-2006->[si-085-02, 2004-hum-353, 2002-fqm-296]
cf-0275-2005->[si-085-02, og-086-03, si-085-06]
ica3-ct-2002-10012->[si-085-06, og-086-03, og-005-00]
0269-0162->[2002-fqm-296, 0613-0312, og-029-01]
pi-0068-2008->[og-005-00, og-030-07, si-016-08]
pi0309-04->[at2009-0039, 2002-fqm-296, hf2000-0056]
0653-0050->[at2009-0039, 2002-fqm-296, og-005-00]
0697-0337->[at2009-0039, sej2005-24019-e, og-086-03]
si-032-02->[0613-0312, og-071-03, og-086-03]
0001-0005->[og-005-00, og-030-07, si-016-08]
imuae-2003-27-8->[og-030-02, 2002-fqm-296, subcs09-001]
1024-0001->[0613-0312, 2002-cvi-210, og-144-06]
si-032-07->[subcs09-001, 2002-fqm-296, 2004-hum-353]
imuae-2003-27-4->[si-004-01, otri-06-06-pc45, es-032-2003]
invm a006-07->[0613-0312, 2002-cvi-210, es-032-2003]
si-032-08->[og-005-00, og-086-03, si-016-08]
pi-0772-2009->[og-005-00, si-016-08, ren2002-10380-e]
si-020-02->[2002-fqm-296, og-086-03, cit-300100-2005-37]
si-020-05->[og-005-00, og-086-03, si-016-08]
2000-hum-287->[si-085-02, og-086-03, si-085-06]
0917-0405->[si-016-08, og-005-00, ren2002-10380-e]
si-040-99->[0613-0312, pi060781, dpi2008-05818]
fpa2008-05281-e->[at2009-0039, og-030-02, si-016-01]
sn-0644-2009->[si-016-08, og-005-00, ren2002-10380-e]
mat2004-01599->[og-005-00, si-016-08, og-030-07]
ti-096-2002->[subcs09-001, 2002-fqm-296, 0613-0312]
og-104-06->[0613-0312, 2002-fqm-296, 2004-hum-353]
og-104-04->[og-074-02, og-086-03, og-005-00]
mat2002-10590-e->[pi060781, es-0063-2005, pi-0592-2009]
mat2006-03519->[at2009-0039, 2002-fqm-296, og-005-00]
pi-0569-2010->[2004-hum-353, 0613-0312, 2002-fqm-296]
ctq2004-05734-c02-02->[og-005-00, si-016-08, og-086-03]
agl2003-02972->[pi060781, es-0063-2005, pi-0592-2009]
pi-0503-2006->[si-085-02, 2004-hum-353, 2002-fqm-296]
1fd97-0919-c02-01->[0613-0312, pi060781, dpi2008-05818]
sn-0184-2005->[2002-fqm-296, 0613-0312, si-085-07]
si-147-07->[si-131-06, es-0063-2005, pi060781]
dpi2001-2612->[2002-fqm-296, 0613-0312, si-085-07]
og-104-00->[si-016-08, og-005-00, pi-0592-2009]
0395-0226->[og-086-03, 2002-fqm-296, og-030-02]
ptr95-0858-op->[og-086-03, cit-300100-2005-37, 2002-fqm-296]
2000-sej-104->[0613-0312, pi060781, dpi2008-05818]
og-013-04->[2002-fqm-296, cit-300100-2005-37, og-030-02]
jc2010-0117->[pi060781, si-131-06, es-0063-2005]
og-013-07->[si-016-08, ren2002-10380-e, og-005-00]
otri-06-0e01->[2002-fqm-296, 0613-0312, si-085-07]
sub-cma-01->[og-086-03, 015-04, og-086-08]
otri-06-0e02->[si-085-06, bfm2001-3943, si-016-08]
og-013-09->[otri-06-06-pc45, si-085-02, es-032-2003]
og-116-01->[si-085-02, pi-0551-2007, si-085-06]
0825-0024->[0613-0312, 2002-cvi-210, 2002-fqm-296]
saf2002-01689->[si-085-06, og-086-03, og-005-00]
0801-0182->[og-030-02, at2009-0039, og-062-00]
og-116-06->[subcs09-001, 2002-fqm-296, 0613-0312]
