p10-tep-6412,0771-0143,2.0
p10-tep-6412,es-0136-2010,3.0
p10-sej-6081,p10-tep-6067,0.0
0858-0365,p10-sej-6081,0.0
0858-0365,p10-tep-6067,3.0
0863-0011,p10-sej-6081,2.0
0863-0011,p10-tep-6067,3.0
otri-08-fcie42,p10-sej-6081,5.0
otri-08-fcie42,p10-tep-6067,3.0
agl2010-21982-c02-01,p10-sej-6081,0.0
agl2010-21982-c02-01,p10-tep-6067,2.0
ffi2010-19022,p10-sej-6081,3.0
ffi2010-19022,p10-tep-6067,0.0
0886-0060,p10-sej-6081,2.0
0886-0060,p10-tep-6067,3.0
0815-0378,p10-sej-6081,2.0
0815-0378,p10-tep-6067,3.0
p011-08-e15,p10-sej-6081,0.0
p011-08-e15,p10-tep-6067,3.0
p10-tic-6220,p10-sej-6081,3.0
p10-tic-6220,p10-tep-6067,0.0
p052-08-e26,p10-sej-6081,3.0
p052-08-e26,p10-tep-6067,2.0
otri-08-fcie44,p10-sej-6081,2.0
otri-08-fcie44,p10-tep-6067,3.0
p10-tep-6412,p10-sej-6081,2.0
p10-tep-6412,p10-tep-6067,0.0
pi-0502-2010,0891-0060,2.0
0858-0365,pi-0502-2010,5.0
0858-0365,0891-0060,2.0
otri-08-fcie42,pi-0502-2010,0.0
otri-08-fcie42,0891-0060,2.0
0863-0011,pi-0502-2010,5.0
0863-0011,0891-0060,3.0
agl2010-21982-c02-01,pi-0502-2010,0.0
agl2010-21982-c02-01,0891-0060,2.0
ffi2010-19022,pi-0502-2010,5.0
ffi2010-19022,0891-0060,2.0
0886-0060,pi-0502-2010,0.0
0886-0060,0891-0060,2.0
0815-0378,pi-0502-2010,0.0
0815-0378,0891-0060,2.0
p011-08-e15,pi-0502-2010,5.0
p011-08-e15,0891-0060,2.0
p10-tic-6220,pi-0502-2010,0.0
p10-tic-6220,0891-0060,0.0
p052-08-e26,pi-0502-2010,0.0
p052-08-e26,0891-0060,2.0
otri-08-fcie44,pi-0502-2010,5.0
otri-08-fcie44,0891-0060,3.0
p10-tep-6412,pi-0502-2010,0.0
p10-tep-6412,0891-0060,2.0
p10-tic-5705,aci2010-1094,3.0
0886-0060,p10-tic-5705,0.0
0886-0060,aci2010-1094,0.0
0863-0011,p10-tic-5705,2.0
0863-0011,aci2010-1094,2.0
0858-0365,p10-tic-5705,2.0
0858-0365,aci2010-1094,2.0
otri-08-fcie42,p10-tic-5705,0.0
otri-08-fcie42,aci2010-1094,0.0
agl2010-21982-c02-01,p10-tic-5705,3.0
agl2010-21982-c02-01,aci2010-1094,3.0
ffi2010-19022,p10-tic-5705,2.0
ffi2010-19022,aci2010-1094,3.0
0815-0378,p10-tic-5705,0.0
0815-0378,aci2010-1094,2.0
p011-08-e15,p10-tic-5705,2.0
p011-08-e15,aci2010-1094,3.0
p10-tic-6220,p10-tic-5705,0.0
p10-tic-6220,aci2010-1094,2.0
p052-08-e26,p10-tic-5705,3.0
p052-08-e26,aci2010-1094,3.0
otri-08-fcie44,p10-tic-5705,2.0
otri-08-fcie44,aci2010-1094,2.0
p10-tep-6412,p10-tic-5705,0.0
p10-tep-6412,aci2010-1094,2.0
pro-059,saf2010-15015,0.0
0886-0060,pro-059,3.0
0886-0060,saf2010-15015,2.0
otri-08-fcie42,pro-059,5.0
otri-08-fcie42,saf2010-15015,2.0
0863-0011,pro-059,3.0
0863-0011,saf2010-15015,3.0
0858-0365,pro-059,3.0
0858-0365,saf2010-15015,2.0
agl2010-21982-c02-01,pro-059,0.0
agl2010-21982-c02-01,saf2010-15015,2.0
ffi2010-19022,pro-059,2.0
ffi2010-19022,saf2010-15015,2.0
0815-0378,pro-059,3.0
0815-0378,saf2010-15015,2.0
p011-08-e15,pro-059,3.0
p011-08-e15,saf2010-15015,2.0
p10-tic-6220,pro-059,2.0
p10-tic-6220,saf2010-15015,0.0
p052-08-e26,pro-059,2.0
p052-08-e26,saf2010-15015,2.0
otri-08-fcie44,pro-059,3.0
otri-08-fcie44,saf2010-15015,3.0
